treat_pay,treat_soc,treat_arg,treat_info,treat_min,nudge,control,intention1,intention2_1,intention3,vaccinated,clicked,gap1,already_vacced,female,age,age_band,region,covid1_1,covid1_2,covid2_1,covid2_2,covid2_3,covid2_4,civilstatus,civilstatus_d1,civilstatus_d2,civilstatus_d3,civilstatus_d4,civilstatus_d5,education,education_d1,education_d2,education_d3,education_d4,education_d5,education_d6,occupation,occupation_d1,occupation_d2,occupation_d3,occupation_d4,occupation_d5,mother,mother_d1,mother_d2,mother_d3,mother_d4,mother_d5,mother_d6,mother_d7,mother_d8,father,father_d1,father_d2,father_d3,father_d4,father_d5,father_d6,father_d7,father_d8,income,income_d1,income_d2,income_d3,income_d4,income_d5,income_d6,income_d7,income_d8,income_d9,income_d10,income_d11,income_d12,haschildren,dist_survey_rollout,dist_datamerge,largeregions,vacc_dist_cens,vaccinated_10d,vaccinated_20d,vaccinated_30d,vaccinated_40d,vaccinated_50d,vaccinated_rollout,vaccinated_incentives,week_num,falk1_1,falk1_2,falk1_3,falk2_1,falk2_2,falk2_3,falk2_4,belief_prot_death,belief_cause_death,treatment,single,university,foreign,unemployed
0,0,0,0,0,0,1,100,83,2,100,0,0,0,1,41,45,11,0,0,3,2,4,1,4,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,-11,76,Sydsverige,21,0,0,100,100,100,100,100,3193,7,5,6,9,7,4,7,NA,NA,5,0,0,0,0
0,0,0,1,0,1,0,0,31,8,0,0,NA,0,1,42,45,12,0,0,4,1,3,4,4,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42500,0,0,0,0,0,0,0,0,1,0,0,0,1,-6,76,Stockholm,30,0,0,0,0,0,0,0,3193,7,6,8,8,5,4,7,9,1,3,0,0,0,0
0,0,1,0,0,1,0,0,53,5,0,0,NA,0,1,44,45,19,0,0,4,3,4,1,3,0,0,1,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17500,0,0,0,1,0,0,0,0,0,0,0,0,0,-25,76,Västsverige,30,0,0,0,0,0,0,0,3193,11,8,9,11,6,1,9,NA,NA,2,0,0,0,0
0,0,0,1,0,1,0,100,100,1,100,0,0,0,1,47,50,13,0,0,2,3,4,1,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12500,0,0,1,0,0,0,0,0,0,0,0,0,1,1,76,Östra Mellansverige,20,0,100,100,100,100,100,100,3193,4,4,4,9,6,3,5,6,1,3,0,1,0,0
0,0,0,0,0,0,1,100,80,5,0,0,100,0,1,41,45,7,1,0,4,2,4,1,1,1,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17500,0,0,0,1,0,0,0,0,0,0,0,0,0,-7,76,Småland med öarna,30,0,0,0,0,0,0,0,3193,8,6,10,10,3,4,4,NA,NA,5,1,0,0,0
0,1,0,0,0,1,0,100,100,4,100,0,0,0,1,43,45,13,0,0,5,1,1,1,2,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37500,0,0,0,0,0,0,0,1,0,0,0,0,1,-7,76,Östra Mellansverige,19,0,100,100,100,100,100,100,3193,3,4,6,10,6,9,7,NA,NA,1,0,0,0,0
1,0,0,0,0,0,0,100,90,2,100,0,0,0,0,42,45,11,0,1,4,3,4,5,1,1,0,0,0,0,4,0,0,0,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12500,0,0,1,0,0,0,0,0,0,0,0,0,1,-11,76,Sydsverige,23,0,0,100,100,100,100,100,3193,8,5,8,8,6,8,7,NA,NA,0,1,1,0,0
0,0,1,0,0,1,0,100,100,2,100,0,0,0,0,45,50,5,0,0,4,1,2,1,4,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,-4,76,Västsverige,27,0,0,100,100,100,100,100,3193,11,6,11,11,9,7,1,NA,NA,2,0,0,0,0
0,0,1,0,0,1,0,100,100,2,0,0,100,0,0,46,50,12,0,0,5,1,1,5,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,7,76,Stockholm,30,0,0,0,0,0,0,0,3193,8,6,9,11,7,7,6,NA,NA,2,0,1,0,0
1,0,0,0,0,0,0,100,100,2,100,0,0,0,1,46,50,11,0,0,4,3,4,1,1,1,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,-7,76,Sydsverige,21,0,0,100,100,100,100,100,3193,11,7,7,11,8,2,2,NA,NA,0,1,0,0,0
0,0,0,0,0,0,1,100,100,1,100,0,0,0,0,45,50,14,0,0,5,2,1,1,4,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,1,-7,76,Östra Mellansverige,12,0,100,100,100,100,100,100,3193,11,6,9,11,8,8,6,NA,NA,5,0,0,0,0
0,0,0,0,0,0,1,100,85,4,0,0,100,0,1,45,50,11,0,0,4,1,2,5,4,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,1,-7,76,Sydsverige,30,0,0,0,0,100,0,0,3193,11,6,7,11,9,5,5,NA,NA,5,0,0,0,0
0,0,1,0,0,1,0,100,90,3,0,0,100,0,0,40,45,21,0,0,4,2,2,4,1,1,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,0,-20,76,Östra Mellansverige,30,0,0,0,100,100,100,100,3193,5,5,5,8,7,7,7,NA,NA,2,1,1,0,0
0,1,0,0,0,1,0,100,66,4,0,0,100,0,0,44,45,19,1,0,3,3,4,5,3,0,0,1,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,52500,0,0,0,0,0,0,0,0,0,0,1,0,0,-25,76,Västsverige,30,0,0,0,100,100,100,100,3193,10,9,9,8,6,4,7,NA,NA,1,0,1,0,0
0,1,0,0,0,1,0,100,90,2,100,0,0,0,0,46,50,12,1,1,5,1,1,4,1,1,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,7,76,Stockholm,14,0,100,100,100,100,100,100,3193,7,6,6,9,7,7,4,NA,NA,1,1,1,0,0
0,0,0,1,0,1,0,100,100,1,100,0,0,0,1,44,45,14,0,1,5,1,2,4,4,0,0,0,1,0,5,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,-11,76,Östra Mellansverige,7,100,100,100,100,100,100,100,3193,6,6,5,11,9,8,11,8,2,3,0,1,0,0
0,0,0,1,0,1,0,100,90,3,100,0,0,0,1,41,45,12,0,0,5,2,2,3,1,1,0,0,0,0,5,0,0,0,0,1,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,-6,76,Stockholm,18,0,100,100,100,100,100,100,3193,11,8,10,10,6,3,7,8,1,3,1,1,0,0
0,1,0,0,0,1,0,0,0,9,0,0,NA,0,1,40,45,7,0,0,3,2,5,1,4,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22500,0,0,0,0,1,0,0,0,0,0,0,0,1,-7,76,Småland med öarna,30,0,0,0,0,0,0,0,3193,7,6,9,11,11,9,9,NA,NA,1,0,0,0,0
0,0,1,0,0,1,0,0,0,10,0,0,NA,0,0,45,50,20,0,1,1,4,5,4,4,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17500,0,0,0,1,0,0,0,0,0,0,0,0,0,-10,76,Östra Mellansverige,30,0,0,0,0,0,0,0,3193,11,8,6,11,9,1,9,NA,NA,2,0,0,0,0
0,0,0,0,0,0,1,100,100,1,0,0,100,0,1,42,45,11,1,0,5,3,3,1,3,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32500,0,0,0,0,0,0,1,0,0,0,0,0,1,-11,76,Sydsverige,30,0,0,0,0,0,0,0,3193,11,9,9,9,9,5,10,NA,NA,5,0,0,0,0
