Job.Titles,Department,Annual.Salary
CIVIL ENGINEER IV,TRANSPORTN,73440
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,100980
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,87006
ADMINISTRATIVE ASST III,FIRE,73440
PUBLIC HEALTH NURSE I,HEALTH,97320
LOAN PROCESSING SPECIALIST,COMMUNITY DEVELOPMENT,88344
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,76266
FIREFIGHTER-EMT,FIRE,84870
PUBLIC HEALTH NUTRITIONIST III,HEALTH,70716
POLICE OFFICER,POLICE,96060
LIBRARY ASSOCIATE,PUBLIC LIBRARY,47484
FIREFIGHTER-EMT,FIRE,92274
COORDINATING FIRE COMMUNICATIONS OPERATOR,OEMC,120432
POLICE OFFICER,POLICE,84054
FIREFIGHTER/PARAMEDIC,FIRE,78738
POLICE OFFICER,POLICE,72510
POLICE OFFICER / FLD TRNG OFFICER,POLICE,91338
FIRE ENGINEER-EMT,FIRE,107106
DEPUTY COMMISSIONER,DISABILITIES,101664
POLICE OFFICER,POLICE,87006
ACCOUNTING TECHNICIAN III,HEALTH,84420
STREET LIGHT REPAIR WORKER,TRANSPORTN,101712
ASST CORPORATION COUNSEL I,LAW,62940
POLICE OFFICER,POLICE,48078
POLICE OFFICER,POLICE,72510
FIREFIGHTER-EMT,FIRE,89148
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,87006
PUBLIC HEALTH NURSE II,HEALTH,97320
POLICE OFFICER,POLICE,90024
TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,101712
POLICE OFFICER,POLICE,87006
POLICE OFFICER,POLICE,90024
LIEUTENANT,POLICE,120252
SERGEANT,POLICE,107988
SANITATION CLERK,STREETS & SAN,63828
LIEUTENANT-EMT,FIRE,117996
POLICE OFFICER,POLICE,90024
POLICE OFFICER,POLICE,84054
POLICE OFFICER,POLICE,76266
CLERK - BD OF ELECTIONS,BOARD OF ELECTION,29328
TESTING SPECIALIST,HUMAN RESOURCES,70020
POLICE OFFICER,POLICE,93354
FIREFIGHTER-EMT,FIRE,92274
FILTRATION ENGINEER II,WATER MGMNT,63480
PROPERTY CUSTODIAN,POLICE,70092
